input,ingredient_name
"1 1/4 cups cooked and pureed fresh butternut squash, or 1 10-ounce package frozen squash, defrosted",butternut squash
"1 cup peeled and cooked fresh chestnuts (about 20), or 1 cup canned, unsweetened chestnuts",chestnuts
"1 medium-size onion, peeled and chopped",onion
"2 stalks celery, chopped coarse",celery
1 1/2 tablespoons vegetable oil,vegetable oil
nan,water
"2 tablespoons unflavored gelatin, dissolved in 1/2 cup water",gelatin
Salt,Salt
1 cup canned plum tomatoes with juice,plum tomatoes
6 cups veal or beef stock,stock
1/3 cup Worcestershire sauce,Worcestershire
1 tablespoon Louisiana hot sauce,Louisiana
1/2 teaspoon hot red pepper flakes,pepper flakes
4 bay leaves,bay leaves
"6 cloves garlic, crushed and chopped",garlic
"2 carrots, peeled and diced",carrots
"2 medium onions, diced",onions
6 tablespoons butter,butter
"1 tablespoon Creole seasoning, or other seasonings of your choice",Creole
3 pounds beef brisket,beef brisket
1/2 cup fine dry bread crumbs,bread crumbs
Freshly ground black pepper,black pepper
12 oysters and their liquor,oysters their liquor
3 tablespoons minced scallions,scallions
1 tablespoon flour,flour
"6 ounces button mushrooms, thinly sliced then coarsely chopped",button mushrooms
13 tablespoons butter,butter
"4 large artichokes, trimmed",artichokes
Juice of 1 lemon,lemon
Salt,Salt
Confectioners' sugar,Confectioners' sugar
1/4 teaspoon vanilla extract,vanilla
2 large eggs,eggs
Pinch of freshly grated nutmeg,nutmeg
2 teaspoons baking powder, 
1/4 teaspoon salt,salt
1/4 cup sugar,sugar
6 tablespoons flour,flour
2 cups cooked medium- or long-grain white rice,rice
"Vegetable oil, for deep-frying",Vegetable oil
pound elbow macaroni,elbow macaroni
Freshly ground black pepper,black pepper
2 teaspoons Dijon mustard,Dijon mustard
cup heavy cream,cream
2 cups whole milk,milk
1/2 teaspoon hot red pepper flakes,pepper flakes
3 tablespoons flour,flour
5 cups coarsely grated extra-sharp Cheddar,Cheddar
2 cups panko or coarse dry bread crumbs,bread crumbs
5 tablespoons unsalted butter,butter
Salt,Salt
Sprigs of watercress,watercress
"3/4 pound shiitake mushrooms, stemmed and quartered",shiitake mushrooms
2 tablespoons extra-virgin olive oil,olive oil
Kosher salt and black pepper,salt black pepper
"1 2-pound beef tenderloin roast, cut from the large end, trimmed and tied at 1/2 -inch intervals with kitchen twine",beef tenderloin
1/8 teaspoon ground cinnamon,cinnamon
1 tablespoon cocoa powder,cocoa
"3 tablespoons medium-roast coffee beans, finely ground",coffee beans
1 teaspoon light-brown sugar,sugar
Kosher salt,salt
1/4 cup heavy cream,cream
2 1/2 cups chicken stock,chicken
4 large cloves garlic,garlic
1 1/2 cups chopped white onion,onion
3 tablespoons unsalted butter,butter
1 6-inch white-corn tortilla,whitecorn tortilla
2 dried pasilla chilies,pasilla chilies
1 teaspoon pomegranate molasses,pomegranate molasses
2 dashes of Angostura bitters,Angostura bitters
1/2 ounce apple schnapps,apple schnapps
1/2 ounce sweet vermouth,vermouth
2 ounces applejack,applejack
"1 orange slice 1 1/4-inch thick, cut in half",orange
1 cup sugar,sugar
"12 ounces cranberries, washed and picked over",cranberries
"1 1/2 cups strawberries (about 1 pint), hulled and halved",strawberries
3 bananas,bananas
3 tablespoons Triple Sec,Triple Sec
3 tablespoons fresh lemon juice,lemon
3/4 cup fresh orange juice,orange
"3 papayas (1 pound each), peeled and cut into 1-inch chunks (about 4 cups)",papayas
"6 kiwis (3 to 4 ounces each), peeled and cut into rounds about 1/4-inch thick",kiwis
"3 McIntosh apples (8 ounces each), peeled, quartered, cored and cut into thin wedges (about 3 cups)",McIntosh apples
"3 Anjou pears (8 ounces each), peeled, halved, cored and thinly sliced lengthwise (about 3 cups)",Anjou pears
"1 small pineapple, peeled, cored and cut into 1-inch chunks (about 3 cups)",pineapple
"9 juice oranges (6 ounces each), peeled and sectioned",oranges
"2 small pink grapefruits (12 ounces each) or 1 large pink grapefruit, peeled and sectioned",grapefruits
"3 cups seedless grapes, equal amounts of red and green",grapes
"18 kumquats, thinly sliced",kumquats
1 cup sifted granulated sugar (optional),sugar
1 teaspoon pure vanilla extract,vanilla
1 1/4 cups cake flour,cake flour
Pinch of kosher salt,salt
"3 egg whites, from Grade A large eggs",egg
1/2 cup dark brown sugar,sugar
"3/4 cup unsalted butter, at room temperature",butter
Freshly ground black pepper,black pepper
5 tablespoons Pernod,Pernod
4 teaspoons kosher salt,salt
1/4 cup fresh lemon juice,lemon
1 cup olive oil,olive oil
1 cup fresh orange juice,orange
"3 heads fennel, tops removed and thinly sliced across the bulb (about 6 cups)",fennel
"2 large heads romaine lettuce, torn into small pieces (about 8 cups)",romaine lettuce
6 bunches watercress (about 12 cups of sprigs),watercress
"2 1/2 pounds bell peppers (about 6 peppers in assorted colors), cut into 2-inch chunks",peppers
"3/4 pound mushrooms, cut into 1/4-inch slices through the stem (4 cups)",mushrooms
4 pounds rigatoni,rigatoni
2 bay leaves,bay leaves
2 tablespoons kosher salt,salt
"5 pounds sweet Italian sausage in casing, cut into 1-inch lengths",sausage
